fileName,changeRate,addNum,deleteNum,class
remoting/src/main/java/org/apache/rocketmq/remoting/netty/NettyEventType.java,5,37,13,not bug-prone
common/src/main/java/org/apache/rocketmq/common/protocol/body/LockBatchResponseBody.java,5,56,19,not bug-prone
store/src/main/java/org/apache/rocketmq/store/ha/HAConnection.java,12,465,75,not bug-prone
test/src/main/java/org/apache/rocketmq/test/util/parallel/Task4Test.java,1,30,0,not bug-prone
tools/src/main/java/org/apache/rocketmq/tools/command/message/CheckMsgSendRTCommand.java,7,162,27,not bug-prone
acl/src/main/java/org/apache/rocketmq/acl/common/AclUtils.java,6,221,30,bug-prone
broker/src/main/java/org/apache/rocketmq/broker/transaction/queue/TransactionalMessageServiceImpl.java,7,530,33,bug-prone
dev/merge_rocketmq_pr.py,4,459,6,not bug-prone
distribution/bin/runserver.sh,6,67,7,bug-prone
distribution/bin/tools.sh,3,3,3,bug-prone
remoting/src/test/java/org/apache/rocketmq/remoting/RemotingServerTest.java,3,165,9,not bug-prone
tools/src/main/java/org/apache/rocketmq/tools/command/acl/UpdateGlobalWhiteAddrSubCommand.java,1,101,0,not bug-prone
client/src/test/java/org/apache/rocketmq/client/consumer/rebalance/AllocateMachineRoomNearByTest.java,1,237,0,not bug-prone
common/src/main/java/org/apache/rocketmq/common/namesrv/RegisterBrokerResult.java,5,69,19,not bug-prone
example/src/main/java/org/apache/rocketmq/example/simple/AclClient.java,6,389,221,not bug-prone
filter/src/main/java/org/apache/rocketmq/filter/parser/SelectorParserConstants.java,2,280,0,not bug-prone
store/src/test/java/org/apache/rocketmq/store/ConsumeQueueTest.java,10,555,34,not bug-prone
store/src/test/java/org/apache/rocketmq/store/schedule/ScheduleMessageServiceTest.java,5,286,62,not bug-prone
broker/src/test/java/org/apache/rocketmq/broker/pagecache/OneMessageTransferTest.java,1,53,0,not bug-prone
client/src/main/java/org/apache/rocketmq/client/producer/MQProducer.java,13,204,66,bug-prone
common/src/main/java/org/apache/rocketmq/common/ConfigManager.java,7,113,30,not bug-prone
common/src/main/java/org/apache/rocketmq/common/protocol/header/GetBrokerAclConfigResponseHeader.java,1,71,0,not bug-prone
namesrv/src/main/java/org/apache/rocketmq/namesrv/kvconfig/KVConfigManager.java,9,244,40,not bug-prone
